Key,Id,English(en),Russian(ru)
"TargetLabel",20085886976,"Target:","Цель:"
"RewardLabel",229675257856,"Reward:","Награда:"
"MoveBackButton",460689133568,"Move Back","Ход назад"
"GameOverLabel",744836452352,"Game Over","Игра окончена"
"RestartButton",958917922816,"Restart","Заново"
"GoalAchievedTitle",1203043192832,"Goal Achieved","Цель достигнута"
"AcceptButton",1398015414272,"Accept","Принять"
"CancelButton",1581675597824,"Close","Закрыть"
"DisplayAdMessage",973879685566464,"Displaying Ads...","Показ рекламы..."
"ContinueButton",1036557674237952,"Continue","Продолжить"
"LoadingScreen",2739903644717056,"Loading...","Загружается..."
"ScoreLabel",4197215861362688,"Score","Счет"
"GameOverScoreLabel",4311721845346304,"Score:","Счет:"
